"item","openLibraryID","publicationDate"
"Q7537819","OL15839908W","1994-01-01T00:00:00Z"
"Q7538155","OL1998522W","1986-01-01T00:00:00Z"
"Q7538525","OL3349659W","1974-09-01T00:00:00Z"
"Q7538625","OL8423388W","2002-06-25T00:00:00Z"
"Q753894","OL46125W","1951-01-01T00:00:00Z"
"Q7539304","OL84072W","1982-01-01T00:00:00Z"
"Q7539909","OL4305644W","1987-01-01T00:00:00Z"
"Q7539910","OL5754424W","2006-11-28T00:00:00Z"
"Q7539916","OL16981473W","2010-01-01T00:00:00Z"
"Q7542768","OL11967339W","2008-01-01T00:00:00Z"
"Q7542768","OL11967339W","2008-04-01T00:00:00Z"
"Q7542965","OL14860101W","1997-01-01T00:00:00Z"
"Q7543973","OL16134437W","2012-06-26T00:00:00Z"
"Q7543991","OL15839936W","2002-10-15T00:00:00Z"
"Q7544024","OL1838395W","1983-01-01T00:00:00Z"
"Q7544569","OL166652W","2004-07-01T00:00:00Z"
"Q7544575","OL2077180W","2000-10-01T00:00:00Z"
"Q7544610","OL8756330W","2010-02-01T00:00:00Z"
"Q754464","OL28305W","1988-01-01T00:00:00Z"
"Q7544683","OL77082W","2008-04-29T00:00:00Z"
"Q7544738","OL18179040W","2009-05-05T00:00:00Z"
"Q7544861","OL15821754W","1971-01-01T00:00:00Z"
"Q7546185","OL97618W","1994-03-01T00:00:00Z"
"Q7546203","OL98783W","1926-01-01T00:00:00Z"
"Q7548132","OL1505698W","1866-01-01T00:00:00Z"
"Q7548321","OL5844479W","1942-01-01T00:00:00Z"
"Q7548333","OL16101633W","1993-01-01T00:00:00Z"
"Q7548484","OL16050764W","1976-01-01T00:00:00Z"
"Q7548621","OL2653827W","1998-09-28T00:00:00Z"
"Q7549001","OL16070234W","2007-02-01T00:00:00Z"
"Q7549316","OL1846354W","1968-01-01T00:00:00Z"
"Q7549452","OL526421W","1987-01-01T00:00:00Z"
"Q7549566","OL15840018W","2007-04-01T00:00:00Z"
"Q7549614","OL547175W","2004-09-09T00:00:00Z"
